Neighborhood,total_arrests,arrests_per_month,felony_count,misdemeanor_count,infraction_count,felony_ratio,misdemeanor_ratio,infraction_ratio,violent_crime_count,property_crime_count,society_crime_count,groupB_crime_count,multi_crime_count,violent_ratio,property_ratio,society_ratio,groupB_ratio,night_crime_count,night_ratio,arrests_2024,arrests_2025,yoy_change,improving_flag
SHADYSIDE,415,18.863636363636363,75,213,72,0.18072289156626506,0.5132530120481927,0.17349397590361446,66,135,55,115,21,0.15903614457831325,0.3253012048192771,0.13253012048192772,0.27710843373493976,94,0.22650602409638554,183,232,0.266304347826087,0
SHERADEN,422,19.181818181818183,92,231,40,0.21800947867298578,0.54739336492891,0.0947867298578199,188,48,54,105,15,0.44549763033175355,0.11374407582938388,0.12796208530805686,0.24881516587677724,157,0.37203791469194314,209,213,0.01904761904761905,0
SOUTH OAKLAND,231,11.0,39,107,70,0.16883116883116883,0.46320346320346323,0.30303030303030304,62,26,26,102,9,0.2683982683982684,0.11255411255411256,0.11255411255411256,0.44155844155844154,92,0.39826839826839827,99,132,0.33,0
SOUTH SIDE FLATS,2675,121.5909090909091,516,1332,595,0.19289719626168225,0.49794392523364484,0.22242990654205608,325,318,917,861,189,0.12149532710280374,0.11887850467289719,0.342803738317757,0.32186915887850465,1154,0.4314018691588785,1323,1352,0.02190332326283988,0
SOUTH SIDE SLOPES,357,16.227272727272727,59,168,106,0.16526610644257703,0.47058823529411764,0.2969187675070028,91,25,77,125,35,0.2549019607843137,0.0700280112044818,0.21568627450980393,0.35014005602240894,136,0.38095238095238093,158,199,0.2578616352201258,0
SOUTHSHORE,147,8.166666666666666,5,58,80,0.034013605442176874,0.3945578231292517,0.54421768707483,20,5,9,87,24,0.1360544217687075,0.034013605442176874,0.061224489795918366,0.5918367346938775,44,0.29931972789115646,100,47,-0.5247524752475248,1
SPRING GARDEN,62,3.4444444444444446,14,29,7,0.22580645161290322,0.46774193548387094,0.11290322580645161,21,5,14,17,1,0.3387096774193548,0.08064516129032258,0.22580645161290322,0.27419354838709675,21,0.3387096774193548,28,34,0.20689655172413793,0
SPRING HILL–CITY VIEW,260,11.818181818181818,62,145,20,0.23846153846153847,0.5576923076923077,0.07692307692307693,79,19,82,62,11,0.3038461538461538,0.07307692307692308,0.3153846153846154,0.23846153846153847,70,0.2692307692307692,143,117,-0.18055555555555555,1
SQUIRREL HILL NORTH,169,8.45,27,69,45,0.15976331360946747,0.40828402366863903,0.26627218934911245,18,21,25,81,15,0.10650887573964497,0.1242603550295858,0.14792899408284024,0.47928994082840237,58,0.3431952662721893,100,69,-0.3069306930693069,1
SQUIRREL HILL SOUTH,334,15.181818181818182,50,149,76,0.1497005988023952,0.44610778443113774,0.2275449101796407,50,47,47,136,29,0.1497005988023952,0.1407185628742515,0.1407185628742515,0.40718562874251496,106,0.31736526946107785,162,172,0.06134969325153374,0
STANTON HEIGHTS,90,5.625,13,31,21,0.14444444444444443,0.34444444444444444,0.23333333333333334,25,11,3,32,6,0.2777777777777778,0.12222222222222222,0.03333333333333333,0.35555555555555557,29,0.32222222222222224,45,45,0.0,0
STRIP DISTRICT,166,7.545454545454546,26,92,33,0.1566265060240964,0.5542168674698795,0.19879518072289157,30,31,28,55,15,0.18072289156626506,0.18674698795180722,0.1686746987951807,0.3313253012048193,64,0.3855421686746988,68,98,0.43478260869565216,0
SUMMER HILL,41,2.7333333333333334,0,24,8,0.0,0.5853658536585366,0.1951219512195122,13,1,3,19,2,0.3170731707317073,0.024390243902439025,0.07317073170731707,0.4634146341463415,22,0.5365853658536586,10,31,1.9090909090909092,0
SWISSHELM PARK,17,1.7,0,6,3,0.0,0.35294117647058826,0.17647058823529413,1,1,0,10,0,0.058823529411764705,0.058823529411764705,0.0,0.5882352941176471,2,0.11764705882352941,7,10,0.375,0
TERRACE VILLAGE,216,9.818181818181818,49,98,36,0.22685185185185186,0.4537037037037037,0.16666666666666666,74,22,32,57,21,0.3425925925925926,0.10185185185185185,0.14814814814814814,0.2638888888888889,90,0.4166666666666667,109,107,-0.01818181818181818,0
TROY HILL,262,11.909090909090908,45,131,54,0.1717557251908397,0.5,0.20610687022900764,62,26,52,92,26,0.2366412213740458,0.09923664122137404,0.1984732824427481,0.3511450381679389,65,0.2480916030534351,106,156,0.4672897196261682,0
UPPER HILL,60,3.75,13,33,5,0.21666666666666667,0.55,0.08333333333333333,25,7,13,8,5,0.4166666666666667,0.11666666666666667,0.21666666666666667,0.13333333333333333,33,0.55,29,31,0.06666666666666667,0
UPPER LAWRENCEVILLE,62,3.875,12,28,8,0.1935483870967742,0.45161290322580644,0.12903225806451613,22,10,6,17,0,0.3548387096774194,0.16129032258064516,0.0967741935483871,0.27419354838709675,26,0.41935483870967744,28,34,0.20689655172413793,0
WEST END,100,5.882352941176471,7,49,34,0.07,0.49,0.34,20,1,15,51,6,0.2,0.01,0.15,0.51,59,0.59,45,55,0.21739130434782608,0
WEST OAKLAND,133,6.333333333333333,30,62,14,0.22556390977443608,0.46616541353383456,0.10526315789473684,48,14,20,34,8,0.3609022556390977,0.10526315789473684,0.15037593984962405,0.2556390977443609,22,0.16541353383458646,58,75,0.288135593220339,0
WESTWOOD,71,3.55,7,40,10,0.09859154929577464,0.5633802816901409,0.14084507042253522,18,16,7,19,4,0.2535211267605634,0.22535211267605634,0.09859154929577464,0.2676056338028169,21,0.29577464788732394,47,24,-0.4791666666666667,1
WINDGAP,65,4.0625,17,31,10,0.26153846153846155,0.47692307692307695,0.15384615384615385,22,11,8,18,2,0.3384615384615385,0.16923076923076924,0.12307692307692308,0.27692307692307694,19,0.2923076923076923,41,24,-0.40476190476190477,1
